Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	1/97	8.382636e-02	1.010039e-01	0	0	1.218505e+01	3.020683e+01	PIK3CA
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	8.382636e-02	1.010039e-01	0	0	1.218505e+01	3.020683e+01	PIK3CA
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	1/98	8.465493e-02	1.011730e-01	0	0	1.205882e+01	2.977531e+01	PIK3CA
KEGG_2021_Human	Melanogenesis	1/101	8.713641e-02	1.026225e-01	0	0	1.169529e+01	2.853980e+01	KRAS
KEGG_2021_Human	Amoebiasis	1/102	8.796215e-02	1.026225e-01	0	0	1.157892e+01	2.814659e+01	PIK3CA
KEGG_2021_Human	Chagas disease	1/102	8.796215e-02	1.026225e-01	0	0	1.157892e+01	2.814659e+01	PIK3CA
KEGG_2021_Human	Toll-like receptor signaling pathway	1/104	8.961153e-02	1.037236e-01	0	0	1.135294e+01	2.738637e+01	PIK3CA
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	1/106	9.125809e-02	1.042486e-01	0	0	1.113557e+01	2.665927e+01	BRAF
KEGG_2021_Human	Th17 cell differentiation	1/107	9.208031e-02	1.042486e-01	0	0	1.102997e+01	2.630751e+01	SMAD4
KEGG_2021_Human	Drug metabolism	1/108	9.290183e-02	1.042486e-01	0	0	1.092633e+01	2.596328e+01	DPYD
KEGG_2021_Human	Insulin resistance	1/108	9.290183e-02	1.042486e-01	0	0	1.092633e+01	2.596328e+01	PIK3CA
KEGG_2021_Human	Platelet activation	1/124	1.059511e-01	1.179910e-01	0	0	9.497370e+00	2.131948e+01	PIK3CA
KEGG_2021_Human	Osteoclast differentiation	1/127	1.083780e-01	1.197862e-01	0	0	9.269841e+00	2.059879e+01	PIK3CA
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	1.132132e-01	1.241965e-01	0	0	8.845811e+00	1.927045e+01	BRAF
KEGG_2021_Human	Yersinia infection	1/137	1.164228e-01	1.267715e-01	0	0	8.583910e+00	1.845993e+01	PIK3CA
KEGG_2021_Human	Spinocerebellar ataxia	1/143	1.212168e-01	1.310211e-01	0	0	8.218724e+00	1.734294e+01	PIK3CA
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	1.307311e-01	1.402735e-01	0	0	7.573720e+00	1.540959e+01	PIK3CA
KEGG_2021_Human	Tight junction	1/169	1.417081e-01	1.509500e-01	0	0	6.937675e+00	1.355612e+01	CCND1
KEGG_2021_Human	Influenza A	1/172	1.440433e-01	1.523335e-01	0	0	6.814929e+00	1.320489e+01	PIK3CA
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	1.571627e-01	1.650209e-01	0	0	6.193367e+00	1.146066e+01	PIK3CA
KEGG_2021_Human	Thermogenesis	1/232	1.895048e-01	1.961775e-01	0	0	5.029539e+00	8.365839e+00	KRAS
KEGG_2021_Human	Coronavirus disease	1/232	1.895048e-01	1.961775e-01	0	0	5.029539e+00	8.365839e+00	PIK3CA
KEGG_2021_Human	Calcium signaling pathway	1/240	1.953911e-01	2.008565e-01	0	0	4.859217e+00	7.933898e+00	VEGFA
KEGG_2021_Human	Parkinson disease	1/249	2.019649e-01	2.061725e-01	0	0	4.680740e+00	7.487599e+00	TP53
KEGG_2021_Human	Prion disease	1/273	2.192480e-01	2.222721e-01	0	0	4.262543e+00	6.468631e+00	PIK3CA
KEGG_2021_Human	Huntington disease	1/306	2.424357e-01	2.440962e-01	0	0	3.794986e+00	5.377566e+00	TP53
KEGG_2021_Human	Amyotrophic lateral sclerosis	1/364	2.816218e-01	2.816218e-01	0	0	3.179225e+00	4.028684e+00	TP53
